dt,open,high,low,close,volume
2024-09-11,221.460007,223.089996,217.889999,222.660004,44587100
2024-09-12,222.5,223.550003,219.820007,222.770004,37455600
2024-09-13,223.580002,224.039993,221.910004,222.5,36766600
2024-09-16,216.539993,217.220001,213.919998,216.320007,59357400
2024-09-17,215.75,216.899994,214.5,216.789993,45519300
2024-09-18,217.550003,222.710007,217.539993,220.690002,59894900
2024-09-19,224.990005,229.820007,224.630005,228.869995,66781300
2024-09-20,229.970001,233.089996,227.619995,228.199997,318679900
2024-09-23,227.339996,229.449997,225.809998,226.470001,54146000
2024-09-24,228.649994,229.350006,225.729996,227.369995,43556100
2024-09-25,224.929993,227.289993,224.020004,226.369995,42308700
2024-09-26,227.300003,228.5,225.410004,227.520004,36636700
2024-09-27,228.460007,229.520004,227.300003,227.789993,34026000
2024-09-30,230.039993,233.0,229.649994,233.0,54541900
2024-10-01,229.520004,229.649994,223.740005,226.210007,63285000
2024-10-02,225.889999,227.369995,223.020004,226.779999,32880600
2024-10-03,225.139999,226.809998,223.320007,225.669998,34044200
2024-10-04,227.899994,228.0,224.130005,226.800003,37245100
2024-10-07,224.5,225.690002,221.330002,221.690002,39505400
2024-10-08,224.300003,225.979996,223.25,225.770004,31855700
2024-10-09,225.229996,229.75,224.830002,229.539993,33591100
2024-10-10,227.779999,229.5,227.169998,229.039993,28183500
2024-10-11,229.300003,229.410004,227.339996,227.550003,31759200
2024-10-14,228.699997,231.729996,228.600006,231.300003,39882100
2024-10-15,233.610001,237.490005,232.369995,233.850006,64751400
2024-10-16,231.600006,232.119995,229.839996,231.779999,34082200
2024-10-17,233.429993,233.850006,230.520004,232.149994,32993800
2024-10-18,236.179993,236.179993,234.009995,235.0,46431500
2024-10-21,234.449997,236.850006,234.449997,236.479996,36254500
2024-10-22,233.889999,236.220001,232.600006,235.860001,38846600
2024-10-23,234.080002,235.139999,227.759995,230.759995,52287000
2024-10-24,229.979996,230.820007,228.410004,230.570007,31109500
2024-10-25,229.740005,233.220001,229.570007,231.410004,38802300
2024-10-28,233.320007,234.729996,232.550003,233.399994,36087100
2024-10-29,233.100006,234.330002,232.320007,233.669998,35417200
2024-10-30,232.610001,233.470001,229.550003,230.100006,47070900
2024-10-31,229.339996,229.830002,225.369995,225.910004,64370100
2024-11-01,220.970001,225.350006,220.270004,222.910004,65276700
2024-11-04,220.990005,222.789993,219.710007,222.009995,44944500
2024-11-05,221.800003,223.949997,221.139999,223.449997,28111300
2024-11-06,222.610001,226.070007,221.190002,222.720001,54561100
2024-11-07,224.630005,227.880005,224.570007,227.479996,42137700
2024-11-08,227.169998,228.660004,226.410004,226.960007,38328800
2024-11-11,225.0,225.699997,221.5,224.229996,42005600
2024-11-12,224.550003,225.589996,223.360001,224.229996,40398300
2024-11-13,224.009995,226.649994,222.759995,225.119995,48566200
2024-11-14,225.020004,228.869995,225.0,228.220001,44923900
2024-11-15,226.399994,226.919998,224.270004,225.0,47923700
2024-11-18,225.25,229.740005,225.169998,228.020004,44633700
2024-11-19,226.979996,230.160004,226.660004,228.279999,36211800
2024-11-20,228.059998,229.929993,225.889999,229.0,35169600
2024-11-21,228.880005,230.160004,225.710007,228.520004,42108300
2024-11-22,228.059998,230.720001,228.059998,229.869995,38168300
2024-11-25,231.460007,233.25,229.740005,232.869995,90152800
2024-11-26,233.330002,235.570007,233.330002,235.059998,45986200
2024-11-27,234.470001,235.690002,233.809998,234.929993,33498400
2024-11-29,234.809998,237.809998,233.970001,237.330002,28481400
2024-12-02,237.270004,240.789993,237.160004,239.589996,48137100
2024-12-03,239.809998,242.759995,238.899994,242.649994,38861000
2024-12-04,242.869995,244.110001,241.25,243.009995,44383900
2024-12-05,243.990005,244.539993,242.130005,243.039993,40033900
2024-12-06,242.910004,244.630005,242.080002,242.839996,36870600
2024-12-09,241.830002,247.240005,241.75,246.75,44649200
2024-12-10,246.889999,248.210007,245.339996,247.770004,36914800
2024-12-11,247.960007,250.800003,246.259995,246.490005,45205800
2024-12-12,246.889999,248.740005,245.679993,247.960007,32777500
2024-12-13,247.820007,249.289993,246.240005,248.130005,33155300
2024-12-16,247.990005,251.380005,247.649994,251.039993,51694800
2024-12-17,250.080002,253.830002,249.779999,253.479996,51356400
2024-12-18,252.160004,254.279999,247.740005,248.050003,56774100
2024-12-19,247.5,252.0,247.089996,249.789993,60882300
2024-12-20,248.039993,255.0,245.690002,254.490005,147495300
2024-12-23,254.770004,255.649994,253.449997,255.270004,40858800
2024-12-24,255.490005,258.209991,255.289993,258.200012,23234700
2024-12-26,258.190002,260.100006,257.630005,259.019989,27237100
2024-12-27,257.829987,258.700012,253.059998,255.589996,42355300
2024-12-30,252.229996,253.5,250.75,252.199997,35557500
2024-12-31,252.440002,253.279999,249.429993,250.419998,39480700
2025-01-02,248.929993,249.100006,241.820007,243.850006,55740700
2025-01-03,243.360001,244.179993,241.889999,243.360001,40244100
2025-01-06,244.309998,247.330002,243.199997,245.0,45045600
2025-01-07,242.979996,245.550003,241.350006,242.210007,40856000
2025-01-08,241.919998,243.710007,240.050003,242.699997,37628900
2025-01-10,240.009995,240.160004,233.0,236.850006,61710900
2025-01-13,233.529999,234.669998,229.720001,234.399994,49630700
