dt,open,high,low,close,volume
2024-09-11,459.910004,469.369995,451.279999,468.619995,57843000
2024-09-12,468.649994,474.040009,466.850006,473.220001,40067800
2024-09-13,472.480011,476.529999,472.25,475.339996,29111800
2024-09-16,473.190002,473.859985,469.890015,473.23999,22585600
2024-09-17,476.290009,477.600006,470.970001,473.48999,30084400
2024-09-18,474.700012,478.829987,470.829987,471.440002,39909200
2024-09-19,482.609985,486.230011,480.48999,483.359985,52782500
2024-09-20,482.48999,483.690002,478.299988,482.440002,34577700
2024-09-23,482.950012,484.140015,481.600006,483.040009,24843000
2024-09-24,484.459991,486.329987,480.170013,485.369995,25952600
2024-09-25,484.73999,487.790009,484.559998,485.820007,26549900
2024-09-26,493.369995,493.700012,485.799988,489.470001,32020200
2024-09-27,490.5,490.640015,485.559998,486.75,22851100
2024-09-30,485.779999,488.410004,482.920013,488.070007,30281100
2024-10-01,487.700012,488.0,477.399994,481.269989,42735400
2024-10-02,480.359985,483.880005,477.720001,481.950012,23744000
2024-10-03,479.73999,484.549988,478.98999,481.589996,25337200
2024-10-04,487.450012,487.880005,482.390015,487.320007,30686600
2024-10-07,485.390015,486.570007,480.869995,482.100006,24975100
2024-10-08,484.660004,489.98999,483.850006,489.299988,28272000
2024-10-09,489.0,493.730011,487.950012,493.149994,24995000
2024-10-10,490.850006,494.470001,489.529999,492.589996,25750400
2024-10-11,490.73999,494.390015,490.170013,493.359985,20644500
2024-10-14,495.769989,498.829987,495.26001,497.5,26060100
2024-10-15,497.829987,498.5,488.679993,490.850006,34784500
2024-10-16,491.179993,491.690002,487.570007,490.910004,22996800
2024-10-17,496.440002,496.48999,491.190002,491.25,27210700
2024-10-18,494.059998,495.570007,493.299988,494.470001,25335000
2024-10-21,493.25,496.230011,491.309998,495.420013,30336500
2024-10-22,492.730011,497.450012,491.970001,495.959991,26685800
2024-10-23,493.589996,494.25,485.049988,488.359985,39346600
2024-10-24,492.109985,493.0,489.440002,492.320007,22024900
2024-10-25,495.140015,500.279999,494.429993,495.320007,38762100
2024-10-28,498.459991,498.519989,495.100006,495.399994,20477800
2024-10-29,495.720001,501.350006,493.850006,500.160004,28014100
2024-10-30,499.390015,500.350006,495.890015,496.380005,29756000
2024-10-31,492.380005,492.429993,483.75,483.850006,41245200
2024-11-01,485.5,490.75,485.200012,487.429993,33655800
2024-11-04,486.820007,489.380005,484.25,486.01001,23291600
2024-11-05,487.609985,492.880005,487.519989,492.209991,24353600
2024-11-06,500.559998,506.410004,499.600006,505.579987,43082200
2024-11-07,508.399994,514.330017,508.339996,513.539978,32853100
2024-11-08,513.039978,514.919983,512.409973,514.140015,22924500
2024-11-11,515.369995,515.580017,510.920013,513.840027,24167500
2024-11-12,513.77002,514.659973,509.829987,512.909973,25835300
2024-11-13,512.400024,514.97998,509.950012,512.25,24567400
2024-11-14,511.910004,512.789978,507.769989,508.690002,28679500
2024-11-15,502.940002,503.329987,494.48999,496.570007,51461100
2024-11-18,498.130005,502.140015,496.730011,500.019989,27080800
2024-11-19,497.420013,503.950012,497.079987,503.459991,24523000
2024-11-20,503.160004,503.480011,496.559998,503.170013,29565500
2024-11-21,506.23999,506.959991,497.559998,504.980011,34526700
2024-11-22,504.420013,506.529999,502.779999,505.790009,23826600
2024-11-25,509.899994,511.450012,504.26001,506.589996,26375200
2024-11-26,508.079987,510.140015,507.230011,509.309998,26557100
2024-11-27,508.170013,508.23999,501.929993,505.299988,24957400
2024-11-29,505.929993,510.339996,505.309998,509.73999,15334000
2024-12-02,511.01001,516.26001,510.619995,515.289978,25147200
2024-12-03,513.950012,517.150024,513.369995,516.869995,18597900
2024-12-04,520.320007,523.52002,519.599976,523.26001,26086200
2024-12-05,523.309998,524.039978,521.419983,521.809998,18169600
2024-12-06,522.47998,526.719971,522.349976,526.47998,23762600
2024-12-09,525.549988,526.349976,521.219971,522.380005,20674400
2024-12-10,523.619995,525.380005,519.159973,520.599976,24350000
2024-12-11,525.0,530.609985,524.590027,529.919983,32168600
2024-12-12,527.679993,528.960022,526.02002,526.5,23577500
2024-12-13,530.460022,533.169983,527.299988,530.530029,28780400
2024-12-16,533.080017,539.150024,533.0,538.169983,31979900
2024-12-17,536.359985,537.47998,534.130005,535.799988,28579100
