dt,open,high,low,close,volume
2024-09-11,548.700012,555.359985,539.960022,554.419983,75248600
2024-09-12,555.01001,559.400024,552.73999,559.090027,51819600
2024-09-13,559.710022,563.030029,559.450012,562.01001,39310500
2024-09-16,561.73999,563.109985,559.900024,562.840027,36656100
2024-09-17,565.099976,566.580017,560.789978,563.070007,49321000
2024-09-18,563.73999,568.690002,560.830017,561.400024,59044900
2024-09-19,571.01001,572.880005,568.080017,570.97998,75315500
2024-09-20,567.840027,569.309998,565.169983,568.25,77503100
2024-09-23,569.340027,570.330017,568.099976,569.669983,44116900
2024-09-24,570.47998,571.359985,567.599976,571.299988,46805700
2024-09-25,571.140015,571.890015,568.909973,570.039978,38428600
2024-09-26,574.380005,574.710022,569.900024,572.299988,48336000
2024-09-27,573.390015,574.219971,570.419983,571.469971,42100900
2024-09-30,570.419983,574.380005,568.080017,573.76001,63557400
2024-10-01,573.400024,574.059998,566.0,568.619995,72668800
2024-10-02,567.710022,569.900024,565.27002,568.859985,38097800
2024-10-03,567.359985,569.799988,565.48999,567.820007,40846500
2024-10-04,572.349976,573.359985,568.099976,572.97998,42939100
2024-10-07,571.299988,571.960022,566.630005,567.799988,49964700
2024-10-08,570.419983,573.780029,569.530029,573.169983,37398700
2024-10-09,573.159973,577.710022,572.549988,577.140015,37912200
2024-10-10,575.77002,577.580017,574.48999,576.130005,44138100
2024-10-11,576.049988,580.330017,575.909973,579.580017,42268000
2024-10-14,581.219971,585.27002,580.72998,584.320007,36217200
2024-10-15,584.590027,584.900024,578.539978,579.780029,54203600
2024-10-16,579.780029,582.830017,578.960022,582.299988,30725400
2024-10-17,585.909973,586.119995,582.159973,582.349976,34393700
2024-10-18,584.070007,585.390015,582.580017,584.590027,37416800
2024-10-21,583.849976,584.849976,580.599976,583.630005,36439000
2024-10-22,581.049988,584.5,580.380005,583.320007,34183800
2024-10-23,581.26001,581.710022,574.419983,577.98999,49314600
2024-10-24,579.97998,580.059998,576.570007,579.23999,34979900
2024-10-25,581.51001,584.460022,578.080017,579.039978,47268200
