dt,open,high,low,close,volume
2024-10-11,5.251,6.942,5.201,5.225,1708.97
2024-10-12,5.241,5.338,5.223,5.27,7169.01
2024-10-13,5.28,5.389,5.117,5.254,4870.66
2024-10-14,5.254,5.382,5.171,5.348,31616.58
2024-10-15,5.341,5.352,5.135,5.222,10006.53
2024-10-16,5.223,5.31,5.175,5.254,12885.51
2024-10-17,5.241,5.252,5.119,5.168,16830.81
2024-10-18,5.185,5.267,5.177,5.259,4190.43
2024-10-19,5.262,5.295,5.228,5.28,13927.63
2024-10-20,5.279,5.374,5.257,5.366,12336.08
2024-10-21,5.371,5.393,5.2,5.221,24323.82
2024-10-22,5.22,5.285,5.19,5.232,6326.23
2024-10-23,5.227,5.234,5.022,5.133,43569.78
2024-10-24,5.113,5.195,5.101,5.137,13248.34
2024-10-25,5.137,5.139,4.584,4.762,21149.29
2024-10-26,4.748,4.982,4.748,4.93,12653.59
2024-10-27,4.924,5.077,4.902,4.97,5386.29
2024-10-28,4.991,5.059,4.939,5.03,12322.97
2024-10-29,5.034,5.142,4.999,5.031,69208.15
2024-10-30,5.016,5.071,4.965,4.996,37263.59
2024-10-31,5.002,5.002,4.764,4.849,34110.62
2024-11-01,4.848,4.942,4.795,4.893,41315.88
2024-11-02,4.899,4.956,4.85,4.864,16937.58
2024-11-03,4.879,4.884,4.66,4.821,24722.97
2024-11-04,4.818,4.899,4.678,4.699,16859.64
2024-11-05,4.701,4.732,4.545,4.665,19238.85
2024-11-06,4.673,4.846,4.656,4.803,53790.35
2024-11-07,4.797,5.012,4.772,4.912,45404.32
2024-11-08,4.932,4.98,4.848,4.931,60361.8
2024-11-09,4.934,5.297,4.908,5.258,67750.09
2024-11-10,5.255,5.578,5.031,5.284,92222.42
2024-11-11,5.283,5.528,5.2,5.513,103204.87
2024-11-12,5.515,5.731,5.118,5.474,153609.3
2024-11-13,5.474,5.569,5.14,5.272,78839.53
2024-11-14,5.283,5.474,5.18,5.241,66724.39
2024-11-15,5.244,5.418,5.157,5.384,60260.69
2024-11-16,5.379,5.825,5.37,5.656,118729.33
2024-11-17,5.657,5.726,5.304,5.39,57620.71
2024-11-18,5.385,5.656,5.38,5.581,77479.37
2024-11-19,5.584,5.678,5.382,5.456,84128.84
2024-11-20,5.456,5.466,5.205,5.3,98356.8
2024-11-21,5.292,5.59,5.238,5.53,77664.52
2024-11-22,5.52,5.595,5.4,5.449,78565.63
2024-11-23,5.471,6.607,5.46,6.317,1169772.9
2024-11-24,6.338,6.591,5.785,6.147,139953.0
2024-11-25,6.129,6.288,5.929,6.082,70820.25
2024-11-26,6.085,6.313,5.691,6.138,60073.93
2024-11-27,6.139,6.472,6.134,6.411,66959.21
2024-11-28,6.366,6.608,6.24,6.443,86373.48
2024-11-29,6.439,6.546,6.33,6.47,66000.73
2024-11-30,6.47,7.155,6.426,6.827,196608.74
2024-12-01,6.825,6.982,6.65,6.845,114531.77
2024-12-02,6.839,6.89,6.345,6.568,141878.32
2024-12-03,6.573,6.823,6.322,6.782,128805.42
2024-12-04,6.782,7.2,6.782,6.903,208472.52
2024-12-05,6.899,7.036,6.61,6.805,122242.01
2024-12-06,6.803,6.96,6.636,6.813,81308.52
2024-12-07,6.813,6.936,6.77,6.807,58448.82
2024-12-08,6.804,6.854,6.67,6.791,43141.58
2024-12-09,6.787,6.812,5.313,5.79,174596.43
2024-12-10,5.783,5.971,5.511,5.939,135435.24
2024-12-11,5.943,6.36,5.773,6.351,48033.46
2024-12-12,6.354,6.513,6.264,6.346,97796.82
2024-12-13,6.349,6.457,6.223,6.332,48323.8
2024-12-14,6.33,6.396,6.078,6.24,34815.1
2024-12-15,6.244,6.43,6.105,6.388,35344.54
2024-12-16,6.408,6.458,5.98,6.066,70002.13
2024-12-17,6.058,6.148,5.77,5.815,77128.04
2024-12-18,5.826,5.866,5.27,5.442,89625.08
2024-12-19,5.438,5.49,5.095,5.204,1116756.4
2024-12-20,5.204,5.461,4.781,5.456,179322.16
2024-12-21,5.452,5.662,5.215,5.304,86399.88
2024-12-22,5.305,5.492,5.201,5.38,38186.75
2024-12-23,5.384,5.624,5.297,5.59,29150.91
2024-12-24,5.587,5.821,5.508,5.796,59455.06
2024-12-25,5.793,6.09,5.793,5.936,80939.76
2024-12-26,5.951,6.013,5.652,5.718,61660.76
2024-12-27,5.731,5.862,5.648,5.72,58884.72
2024-12-28,5.721,5.873,5.618,5.803,31774.91
2024-12-29,5.806,5.833,5.57,5.628,43067.94
2024-12-30,5.617,5.698,5.461,5.575,65844.73
2024-12-31,5.568,5.63,5.467,5.487,95502.38
2025-01-01,5.495,5.538,5.397,5.508,27087.74
2025-01-02,5.503,5.697,5.503,5.644,28735.67
2025-01-03,5.637,5.821,5.595,5.795,56568.0
2025-01-04,5.814,5.817,5.687,5.721,28747.79
2025-01-05,5.719,5.735,5.632,5.72,24714.29
2025-01-06,5.732,5.797,5.649,5.713,32109.73
2025-01-07,5.711,5.758,5.308,5.32,51289.59
2025-01-08,5.313,5.36,5.1,5.304,41470.07
2025-01-09,5.324,5.338,5.078,5.181,89337.82
2025-01-10,5.205,5.381,5.138,5.376,47626.96
2025-01-11,5.38,5.464,5.336,5.394,40304.8
2025-01-12,5.4,5.428,5.262,5.292,26077.2
2025-01-13,5.301,5.363,4.992,5.289,57997.99
2025-01-14,5.299,5.434,5.216,5.357,44210.57
2025-01-15,5.347,5.543,5.31,5.52,71013.4
2025-01-16,5.511,5.575,5.421,5.475,43349.37
2025-01-17,5.482,5.645,5.482,5.59,96047.05
2025-01-18,5.591,5.663,5.18,5.285,103294.57
2025-01-19,5.284,5.352,4.78,4.853,159264.81
2025-01-20,4.86,5.278,4.723,5.023,112750.39
2025-01-21,5.021,5.257,4.924,5.188,68528.19
2025-01-22,5.201,5.36,5.169,5.281,80230.92
2025-01-23,5.293,5.319,5.042,5.135,46915.88
2025-01-24,5.128,5.18,5.024,5.06,38504.72
2025-01-25,5.068,5.101,5.019,5.069,32033.97
2025-01-26,5.075,5.109,4.93,4.938,44515.83
2025-01-27,4.927,5.015,4.672,5.004,81052.92
2025-01-28,5.017,5.03,4.752,4.779,46246.61
2025-01-29,4.779,4.892,4.765,4.83,35756.37
2025-01-30,4.824,4.933,4.761,4.823,169236.76
2025-01-31,4.826,4.95,4.788,4.824,38298.92
2025-02-01,4.823,4.911,4.57,4.614,47646.47
2025-02-02,4.611,4.676,3.901,4.055,167484.5
2025-02-03,4.063,4.14,2.965,4.076,298702.35
2025-02-04,4.083,4.116,3.649,3.792,260045.46
2025-02-05,3.783,3.897,3.756,3.782,52112.77
2025-02-06,3.786,3.913,3.691,3.738,41997.88
2025-02-07,3.755,3.861,3.632,3.714,51618.64
2025-02-08,3.719,3.803,3.673,3.744,29347.37
2025-02-09,3.746,3.945,3.707,3.817,43862.99
2025-02-10,3.814,3.847,3.749,3.819,21613.97
2025-02-11,3.818,3.902,3.694,3.746,57083.84
2025-02-12,3.742,3.831,3.603,3.831,62477.84
2025-02-13,3.831,3.877,3.647,3.711,121400.44
2025-02-14,3.711,3.894,3.706,3.848,62584.91
2025-02-15,3.848,3.875,3.733,3.796,21688.8
2025-02-16,3.796,3.844,3.746,3.779,27656.8
2025-02-17,3.78,3.853,3.728,3.762,39539.19
2025-02-18,3.761,3.762,3.567,3.669,70207.11
2025-02-19,3.675,3.687,3.49,3.545,115441.37
2025-02-20,3.544,3.637,3.529,3.609,43086.45
2025-02-21,3.605,3.714,3.52,3.564,72120.6
2025-02-22,3.556,3.767,3.543,3.74,25715.42
2025-02-23,3.745,3.818,3.735,3.771,36977.38
2025-02-24,3.769,3.794,3.39,3.41,88893.25
2025-02-25,3.412,3.588,3.325,3.554,89061.3
2025-02-26,3.548,3.615,3.383,3.493,78833.14
2025-02-27,3.499,3.51,3.33,3.413,49243.38
2025-02-28,3.417,3.447,3.12,3.328,80331.33
2025-03-01,3.327,3.363,3.214,3.321,73498.15
2025-03-02,3.318,3.579,3.285,3.514,119468.17
2025-03-03,3.509,3.512,3.032,3.061,222932.15
2025-03-04,3.056,3.197,2.825,3.121,135410.96
2025-03-05,3.116,3.154,2.891,3.04,129268.53
2025-03-06,3.031,3.106,2.997,3.041,135818.72
2025-03-07,3.039,3.094,2.888,2.977,69224.75
2025-03-08,2.987,2.999,2.942,2.956,31397.89
2025-03-09,2.951,2.963,2.604,2.648,101209.64
2025-03-10,2.649,2.802,2.459,2.521,284367.36
2025-03-11,2.522,2.739,2.359,2.64,201158.12
2025-03-12,2.637,2.797,2.595,2.743,212655.04
2025-03-13,2.75,2.795,2.682,2.765,133638.63
2025-03-14,2.766,2.947,2.766,2.92,160154.66
2025-03-15,2.925,3.641,2.905,3.584,453590.41
2025-03-16,3.582,3.587,3.332,3.445,204759.75
2025-03-17,3.442,3.659,3.385,3.454,215313.56
2025-03-18,3.451,3.667,3.403,3.567,223594.62
2025-03-19,3.567,3.791,3.527,3.657,182651.5
2025-03-20,3.656,3.894,3.585,3.697,222517.89
2025-03-21,3.699,3.8,3.501,3.583,292895.2
2025-03-22,3.583,3.696,3.572,3.668,54467.37
2025-03-23,3.666,3.725,3.63,3.677,85843.6
2025-03-24,3.683,3.762,3.625,3.665,100650.58
2025-03-25,3.662,3.698,3.554,3.6,97890.76
2025-03-26,3.599,3.704,3.531,3.681,120298.22
2025-03-27,3.682,4.083,3.682,4.041,267395.04
2025-03-28,4.049,4.074,3.792,3.794,405795.17
2025-03-29,3.796,3.845,3.649,3.702,105946.51
2025-03-30,3.698,3.987,3.642,3.892,134202.67
2025-03-31,3.895,4.161,3.84,4.106,429759.6
2025-04-01,4.109,4.207,3.992,4.059,297982.14
2025-04-02,4.054,4.096,3.798,3.835,132583.33
2025-04-03,3.833,3.882,3.539,3.591,603921.69
2025-04-04,3.584,3.595,3.337,3.414,307402.9
2025-04-05,3.411,3.411,3.212,3.258,80951.52
2025-04-06,3.258,3.331,2.853,2.918,180291.54
2025-04-07,2.917,3.179,2.836,3.105,212123.86
2025-04-08,3.099,3.178,2.912,2.977,188348.55
2025-04-09,2.986,3.249,2.896,3.154,173846.18
2025-04-10,3.156,3.159,2.861,2.913,114432.77
2025-04-11,2.9,2.994,2.893,2.924,115482.99
2025-04-12,2.92,3.078,2.781,2.983,136318.69
2025-04-13,2.983,2.999,2.805,2.818,116110.52
2025-04-14,2.816,2.893,2.784,2.885,110815.04
2025-04-15,2.893,3.011,2.817,2.854,206907.49
2025-04-16,2.851,2.925,2.811,2.892,150447.69
2025-04-17,2.887,2.995,2.887,2.939,123891.7
2025-04-18,2.941,3.025,2.93,2.999,37544.99
2025-04-19,2.993,3.013,2.942,2.972,30511.35
2025-04-20,2.97,3.013,2.957,2.995,35814.4
2025-04-21,3.001,3.053,2.879,2.888,63004.92
2025-04-22,2.889,3.089,2.867,3.084,90823.35
2025-04-23,3.09,3.219,3.047,3.185,141450.85
2025-04-24,3.186,3.199,3.062,3.195,69229.92
2025-04-25,3.18,3.279,3.162,3.199,80194.85
2025-04-26,3.212,3.348,3.199,3.343,39723.44
2025-04-27,3.352,3.393,3.214,3.272,85765.07
2025-04-28,3.272,3.347,3.187,3.276,97729.0
2025-04-29,3.276,3.298,3.155,3.19,41132.61
2025-04-30,3.182,3.256,3.123,3.171,61728.59
2025-05-01,3.162,3.244,3.126,3.213,76543.69
2025-05-02,3.217,3.264,3.12,3.173,65520.88
2025-05-03,3.172,3.204,3.076,3.089,22353.47
2025-05-04,3.083,3.117,3.012,3.021,40760.59
2025-05-05,3.016,3.044,2.947,2.962,38194.14
2025-05-06,2.963,3.035,2.937,3.015,163541.72
2025-05-07,3.017,3.041,2.979,3.019,21530.04
2025-05-08,3.014,3.279,3.003,3.208,1521737.33
2025-05-09,3.207,3.376,3.175,3.287,303328.42
2025-05-10,3.286,3.521,3.268,3.515,191900.21
2025-05-11,3.517,3.588,3.326,3.411,96775.25
2025-05-12,3.412,3.585,3.244,3.36,132413.76
2025-05-13,3.353,3.435,3.191,3.394,163969.73
2025-05-14,3.404,3.463,3.227,3.25,106865.26
2025-05-15,3.243,3.283,3.027,3.07,188371.56
2025-05-16,3.072,3.181,3.064,3.103,66393.07
2025-05-17,3.103,3.112,3.009,3.074,72797.85
2025-05-18,3.079,3.204,3.019,3.139,59886.85
2025-05-19,3.143,3.143,2.887,3.03,106391.66
2025-05-20,3.031,3.095,3.011,3.088,337117.66
2025-05-21,3.091,3.14,3.019,3.099,119772.86
2025-05-22,3.092,3.198,3.086,3.174,71975.47
2025-05-23,3.172,3.218,2.937,2.978,287871.89
2025-05-24,2.978,3.041,2.966,3.032,48603.02
2025-05-25,3.035,3.043,2.915,2.994,28911.78
2025-05-26,2.998,3.016,2.939,2.969,51852.97
2025-05-27,2.97,3.027,2.928,3.012,62947.1
2025-05-28,3.011,3.696,2.978,3.324,816647.86
2025-05-29,3.327,3.474,3.245,3.377,334714.31
2025-05-30,3.403,3.403,3.07,3.098,229678.86
2025-05-31,3.089,3.167,2.995,3.155,214120.37
2025-06-01,3.155,3.221,3.094,3.191,43071.87
2025-06-02,3.191,3.253,3.103,3.215,107036.3
2025-06-03,3.217,3.238,3.165,3.184,63373.03
2025-06-04,3.182,3.225,3.143,3.166,35839.57
2025-06-05,3.17,3.258,2.995,3.034,134891.82
2025-06-06,3.026,3.212,3.023,3.155,291677.05
2025-06-07,3.158,3.207,3.122,3.182,484712.48
2025-06-08,3.178,3.202,3.121,3.172,95938.01
2025-06-09,3.178,3.332,3.151,3.309,131893.4
2025-06-10,3.309,3.392,3.274,3.348,121845.98
2025-06-11,3.348,3.348,3.206,3.24,96369.74
2025-06-12,3.239,3.244,3.07,3.094,62759.76
2025-06-13,3.086,3.086,2.903,3.028,139271.52
2025-06-14,3.027,3.036,2.908,2.955,73538.54
2025-06-15,2.951,2.983,2.941,2.979,29939.27
2025-06-16,2.976,3.047,2.956,2.962,241303.58
2025-06-17,2.966,3.025,2.914,2.958,76939.24
2025-06-18,2.961,2.991,2.848,2.95,93168.51
2025-06-19,2.948,2.975,2.905,2.968,56742.75
2025-06-20,2.968,3.007,2.891,2.939,47346.63
2025-06-21,2.937,2.971,2.778,2.854,43331.8
2025-06-22,2.855,2.892,2.608,2.733,109872.4
2025-06-23,2.734,2.949,2.714,2.913,372439.63
2025-06-24,2.912,2.935,2.85,2.902,495988.75
2025-06-25,2.903,2.918,2.817,2.833,113776.07
2025-06-26,2.836,2.889,2.795,2.816,52327.46
2025-06-27,2.819,2.865,2.807,2.853,34108.41
2025-06-28,2.854,2.861,2.823,2.853,20484.1
2025-06-29,2.854,2.92,2.84,2.912,29755.73
2025-06-30,2.912,2.967,2.871,2.912,52799.59
2025-07-01,2.915,2.915,2.75,2.789,147114.93
2025-07-02,2.785,2.907,2.764,2.865,44366.26
2025-07-03,2.865,2.92,2.845,2.853,96207.23
2025-07-04,2.852,2.853,2.731,2.744,73013.76
2025-07-05,2.742,2.766,2.721,2.747,29196.77
2025-07-06,2.747,3.065,2.722,2.836,1281256.37
2025-07-07,2.839,2.855,2.731,2.738,238549.5
2025-07-08,2.737,2.808,2.728,2.804,134443.79
2025-07-09,2.805,2.855,2.79,2.838,148222.11
2025-07-10,2.837,2.949,2.83,2.944,675515.06
2025-07-11,2.944,3.016,2.915,2.963,949899.99
2025-07-12,2.963,3.025,2.897,3.002,117134.02
2025-07-13,3.002,3.047,2.943,2.972,596071.24
2025-07-14,2.974,3.057,2.954,3.025,391477.95
2025-07-15,3.025,3.1,2.956,3.094,115609.58
2025-07-16,3.098,3.19,3.061,3.163,202375.59
2025-07-17,3.165,3.269,3.1,3.201,226536.18
2025-07-18,3.198,3.353,3.153,3.19,402593.94
2025-07-19,3.192,3.228,3.14,3.202,50884.98
2025-07-20,3.201,3.326,3.178,3.276,238237.55
2025-07-21,3.277,3.381,3.229,3.328,167744.47
2025-07-22,3.331,3.593,3.201,3.342,598620.17
2025-07-23,3.339,3.344,3.09,3.199,397945.29
2025-07-24,3.2,3.341,3.023,3.122,153302.17
2025-07-25,3.114,3.197,3.05,3.191,151363.65
2025-07-26,3.191,3.375,3.187,3.299,224621.69
2025-07-27,3.296,3.383,3.282,3.375,106394.53
2025-07-28,3.371,3.443,3.186,3.207,262378.11
2025-07-29,3.202,3.41,3.184,3.373,290686.07
2025-07-30,3.376,3.488,3.269,3.408,311551.24
2025-07-31,3.405,3.686,3.405,3.526,607917.88
2025-08-01,3.53,3.658,3.351,3.562,478892.86
2025-08-02,3.56,3.715,3.49,3.54,245468.68
2025-08-03,3.531,3.745,3.463,3.563,230020.45
2025-08-04,3.56,3.67,3.329,3.42,536392.26
2025-08-05,3.414,3.423,3.181,3.198,144875.78
2025-08-06,3.19,3.32,3.141,3.311,222651.81
2025-08-07,3.312,3.354,3.225,3.344,189788.58
2025-08-08,3.345,3.391,3.278,3.341,860150.86
2025-08-09,3.338,3.483,3.314,3.388,422503.51
2025-08-10,3.388,3.435,3.292,3.35,93353.7
2025-08-11,3.35,3.443,3.3,3.374,282973.63
2025-08-12,3.366,3.551,3.34,3.505,249477.65
2025-08-13,3.502,3.543,3.369,3.532,246023.77
2025-08-14,3.533,3.643,3.283,3.42,408417.98
2025-08-15,3.414,3.511,3.33,3.441,159190.93
2025-08-16,3.444,3.509,3.417,3.462,67992.71
2025-08-17,3.463,3.538,3.442,3.526,218335.08
2025-08-18,3.521,3.528,3.315,3.33,156988.65
2025-08-19,3.332,3.353,3.185,3.223,122419.06
2025-08-20,3.223,3.293,3.19,3.278,129055.34
2025-08-21,3.282,3.333,3.235,3.308,74973.44
2025-08-22,3.315,3.44,3.211,3.421,169370.73
2025-08-23,3.423,3.438,3.332,3.383,188895.45
2025-08-24,3.383,3.406,3.238,3.301,112783.46
2025-08-25,3.3,3.322,3.082,3.121,165185.17
2025-08-26,3.115,3.177,3.105,3.169,120328.83
