dt,open,high,low,close,volume
2024-10-21,28715.946551,28868.794598,28317.132894,28648.53964,1003604765.26
2024-10-22,28345.532404,28544.971407,28019.718562,28208.098784,1305470134.04
2024-10-23,28782.971959,28907.850538,28721.491914,28896.900571,1014013184.05
2024-10-24,30094.78834,30336.685611,29889.40156,29941.377163,974545010.09
2024-10-25,29244.276875,29473.218846,29208.001878,29249.472289,866837365.08
2024-10-26,28875.566196,29075.765052,28589.759391,28692.824751,893189094.82
2024-10-27,28266.080505,28540.689002,28080.077812,28265.706896,831045685.64
2024-10-28,26905.007573,27163.343341,26688.595867,27127.17649,993378556.15
2024-10-29,26872.19806,26927.502434,26710.930273,26781.22176,1160059693.51
2024-10-30,27751.480596,27973.125851,27399.062171,27800.800738,926993180.57
2024-10-31,26960.982313,27031.772473,26932.301142,27001.617545,1037508921.67
2024-11-01,27885.433027,28444.471006,27642.175148,28048.461504,845866848.66
2024-11-02,27898.860709,27915.398249,27483.229523,27718.997732,1346564360.72
2024-11-03,29383.401624,29527.882092,29101.455347,29444.776454,1247437698.81
2024-11-04,29076.79842,29205.914035,28856.47839,28894.757314,889429589.9
2024-11-05,28740.964347,28942.750588,28501.708034,28790.627392,1207886647.14
2024-11-06,27966.349344,28115.959243,27911.748606,28070.518499,848981751.86
2024-11-07,27686.940605,27849.226046,27226.835932,27541.572969,1135434532.92
2024-11-08,28611.48668,28630.184929,28322.545843,28619.882008,854289638.03
2024-11-09,29013.766139,29287.340239,28996.750186,29021.145869,837349073.07
2024-11-10,29740.820082,30116.060395,29530.390262,29894.072155,1225088745.3
2024-11-11,28760.583267,28850.341374,28736.996202,28813.32587,905760779.13
2024-11-12,29417.365719,29609.97041,29332.472925,29367.007665,1062261138.02
2024-11-13,28434.266553,28822.119765,28350.71118,28582.803379,1028882363.79
2024-11-14,27473.128764,27552.484893,27173.986893,27532.498488,1720396929.33
2024-11-15,27685.906209,27817.364078,27587.820491,27732.546411,824534017.8
2024-11-16,27933.371775,27947.977274,27722.941126,27925.950085,1144983830.04
2024-11-17,28146.995097,28346.783515,27826.83956,27981.394528,1065381406.13
2024-11-18,28535.569864,28978.991977,28509.875256,28569.848326,1271867554.34
2024-11-19,29219.041151,29567.757455,29184.951778,29299.96774,919937774.5
2024-11-20,30896.599713,30942.580936,30506.300598,30560.873769,1405621822.66
2024-11-21,29509.566216,29767.736764,29388.972024,29560.787417,1250460294.49
2024-11-22,30837.614616,31033.109116,30717.280351,30861.150336,1146774649.69
2024-11-23,32521.306422,32684.552046,32184.704472,32567.923675,1043952211.5
2024-11-24,32211.056494,32308.928641,32066.905064,32246.756117,909238886.32
2024-11-25,30781.146023,30871.599546,30731.977049,30771.575464,898344747.71
2024-11-26,29711.09459,29966.468034,29561.377092,29602.064682,835938184.44
2024-11-27,29278.039575,29292.621958,29151.741725,29230.804031,845624396.15
2024-11-28,31096.304665,31451.119915,30559.331625,30962.904636,897355541.99
2024-11-29,31121.929051,31401.918461,30910.856461,30992.500813,857437875.33
2024-11-30,30494.758963,30788.772708,30413.633261,30469.341182,1005324252.01
2024-12-01,29942.144094,30119.654637,29778.007308,29897.141485,1316615088.31
