dt,open,high,low,close,volume
2024-10-21,2.070165,2.075591,2.055438,2.057963,935199856.79
2024-10-22,2.15171,2.182649,2.137439,2.162071,1110255780.46
2024-10-23,2.177505,2.190202,2.152557,2.176473,938448052.67
2024-10-24,2.345836,2.348505,2.340666,2.345773,913590384.8
2024-10-25,2.230429,2.243166,2.212899,2.231706,840129421.2
2024-10-26,2.2869,2.294483,2.269993,2.290405,814222953.23
2024-10-27,2.200744,2.221931,2.184187,2.203942,829771779.4
2024-10-28,2.295692,2.30161,2.278566,2.294089,942626162.19
2024-10-29,2.350878,2.352518,2.335124,2.348036,1193478884.12
2024-10-30,2.516209,2.531202,2.511449,2.513669,1045162158.58
2024-10-31,2.574158,2.576113,2.533003,2.5618,1309934973.5
2024-11-01,2.511054,2.523224,2.501412,2.523178,1330948931.19
2024-11-02,2.459025,2.486426,2.433457,2.476975,977046371.54
2024-11-03,2.46384,2.473245,2.433217,2.453858,1034614642.55
2024-11-04,2.398051,2.416985,2.384642,2.407135,977370383.31
2024-11-05,2.529227,2.540101,2.508668,2.533072,856267968.69
2024-11-06,2.651897,2.680692,2.632995,2.658406,816787508.52
2024-11-07,2.50604,2.521889,2.504991,2.512407,1119337106.64
2024-11-08,2.501574,2.544143,2.50109,2.516252,1273515470.89
2024-11-09,2.516656,2.530806,2.512167,2.522402,815981538.08
2024-11-10,2.45556,2.463211,2.437429,2.449199,1929730912.29
2024-11-11,2.490264,2.500453,2.488204,2.490303,832210182.18
2024-11-12,2.637192,2.66074,2.613041,2.631881,1102319234.69
2024-11-13,2.716921,2.742537,2.694932,2.722323,1049649448.52
2024-11-14,2.87509,2.893805,2.847087,2.864745,1135243160.67
2024-11-15,2.782549,2.801612,2.775222,2.788219,1142798643.28
2024-11-16,2.76874,2.796736,2.75155,2.792291,910863002.01
2024-11-17,2.716294,2.719457,2.704179,2.712858,1163246083.83
2024-11-18,2.746141,2.775353,2.731597,2.737737,1060669541.4
2024-11-19,2.76606,2.797879,2.71658,2.772261,892035418.62
2024-11-20,2.8887,2.895017,2.87466,2.874909,1326676632.01
2024-11-21,3.011196,3.048028,2.996353,3.021477,1245935836.63
2024-11-22,3.109759,3.116173,3.093166,3.101439,905801610.18
2024-11-23,3.023421,3.036379,2.97536,3.002466,960055575.18
2024-11-24,2.853519,2.863466,2.850313,2.8531,1370056356.4
2024-11-25,2.907327,2.91142,2.875036,2.909963,1096314248.24
2024-11-26,3.078712,3.099787,3.072505,3.080014,1409817326.61
2024-11-27,3.097417,3.102969,3.060693,3.077373,1126780638.02
2024-11-28,2.909658,2.918529,2.889118,2.904978,851265516.76
2024-11-29,3.170349,3.197416,3.139554,3.143389,982817585.1
2024-11-30,3.205907,3.22037,3.198412,3.20233,820292378.35
2024-12-01,3.214937,3.247874,3.200946,3.223367,949912017.25
2024-12-02,3.077212,3.093835,3.069826,3.084411,907981395.33
2024-12-03,3.087308,3.090346,3.07515,3.086547,865134588.63
2024-12-04,3.142112,3.168925,3.131878,3.16798,829354374.02
2024-12-05,3.222908,3.231529,3.219987,3.229043,929802129.58
2024-12-06,3.141672,3.153469,3.121108,3.147372,938277894.79
2024-12-07,3.143853,3.15032,3.135986,3.14084,1699659802.88
2024-12-08,3.092637,3.101833,3.062378,3.068801,1338112680.76
2024-12-09,3.269003,3.281469,3.240018,3.268286,1369202811.48
2024-12-10,3.354987,3.382185,3.332703,3.380988,845793752.94
2024-12-11,3.302789,3.31868,3.269041,3.314907,929886668.88
2024-12-12,3.175272,3.214532,3.155429,3.171945,1209641753.86
2024-12-13,3.206874,3.21426,3.198233,3.205681,901039348.03
